Num	    Ref     Trade	Entry Spot	Exit Spot	Buy 	Final	Profit/Loss
                Type                            Price   Price
85	26045845928	CALL	16133.73	16135.45	1.00	1.94	0.94
86	26045854528	CALL	16137.61	16131.94	1.00	0.00	-1
87	26045862928	CALL	16131.42	16131.01	2.00	0.00	-2
88	26045869288	CALL	16128.67	16142.33	4.00	7.77	3.77
89	26045876468	CALL	16143.97	16135.61	1.00	0.00	-1
90	26045883388	CALL	16156.31	16156.42	2.00	3.88	1.88
91	26045890708	CALL	16152.60	16149.05	1.00	0.00	-1
92	26045896928	CALL	16153.76	16155.65	2.00	3.88	1.88
93	26045903408	CALL	16151.06	16173.81	1.00	1.94	0.94
94	26045910848	CALL	16170.34	16147.08	1.00	0.00	-1
95	26045918428	CALL	16153.54	16163.18	2.00	3.88	1.88
96	26045925948	CALL	16159.21	16149.00	1.00	0.00	-1
97	26045933708	CALL	16146.57	16140.53	2.00	0.00	-2
98	26045940588	CALL	16149.09	16148.37	4.00	0.00	-4
99	26045947988	CALL	16146.52	16140.74	8.00	0.00	-8
100	26045954788	CALL	16139.14	16147.71	16.00	31.08	15.08
101	26045962428	CALL	16146.18	16155.49	1.00	1.94	0.94
102	26045969508	CALL	16157.97	16165.18	1.00	1.94	0.94
103	26045976488	CALL	16166.43	16162.32	1.00	0.00	-1
104	26045983468	CALL	16171.11	16160.69	2.00	0.00	-2
105	26045990568	CALL	16159.10	16166.74	4.00	7.77	3.77
106	26045997708	CALL	16174.16	16154.35	1.00	0.00	-1
107	26046005008	CALL	16153.84	16166.56	2.00	3.88	1.88
108	26046011988	CALL	16164.79	16164.35	1.00	0.00	-1
109	26046019148	CALL	16165.88	16177.70	2.00	3.88	1.88
110	26046025948	CALL	16178.05	16181.16	1.00	1.94	0.94
111	26046033748	CALL	16173.58	16181.88	1.00	1.94	0.94
112	26046040568	CALL	16183.89	16185.23	1.00	1.94	0.94
113	26046047728	CALL	16185.50	16191.32	1.00	1.94	0.94
114	26046055108	CALL	16190.88	16181.63	1.00	0.00	-1
115	26046061848	CALL	16179.54	16171.00	2.00	0.00	-2
116	26046070648	CALL	16174.11	16176.16	4.00	7.77	3.77
117	26046078488	CALL	16161.68	16172.31	1.00	1.94	0.94
118	26046085688	CALL	16174.50	16176.96	1.00	1.94	0.94
119	26046092948	CALL	16169.29	16195.92	1.00	1.94	0.94
120	26046100948	CALL	16198.57	16190.51	1.00	0.00	-1
121	26046108988	CALL	16195.38	16183.69	2.00	0.00	-2
122	26046117288	CALL	16173.72	16175.67	4.00	7.77	3.77
123	26046124468	CALL	16174.96	16188.01	1.00	1.94	0.94
124	26046131268	CALL	16190.46	16199.55	1.00	1.94	0.94
125	26046138228	CALL	16203.31	16212.76	1.00	1.94	0.94
126	26046146108	CALL	16207.93	16217.57	1.00	1.94	0.94
127	26046153808	CALL	16210.04	16193.07	1.00	0.00	-1
128	26046161688	CALL	16182.18	16201.18	2.00	3.88	1.88
129	26046169628	CALL	16202.26	16206.72	1.00	1.94	0.94
130	26046176828	CALL	16205.82	16204.44	1.00	0.00	-1
131	26046184028	CALL	16202.00	16204.87	2.00	3.88	1.88
132	26046190448	CALL	16193.84	16200.43	1.00	1.94	0.94
133	26046197088	CALL	16208.38	16205.43	1.00	0.00	-1
134	26046204708	CALL	16199.81	16197.90	2.00	0.00	-2
135	26046212728	CALL	16195.18	16202.10	4.00	7.77	3.77
136	26046220208	CALL	16194.15	16198.17	1.00	1.94	0.94
137	26046226948	CALL	16199.42	16188.79	1.00	0.00	-1
138	26046234588	CALL	16190.07	16222.63	2.00	3.88	1.88
139	26046242928	CALL	16213.68	16214.59	1.00	1.94	0.94
140	26046250488	CALL	16222.01	16234.07	1.00	1.94	0.94
141	26046258228	CALL	16242.06	16219.03	1.00	0.00	-1
142	26046265848	CALL	16207.78	16212.34	2.00	3.88	1.88
143	26046273328	CALL	16211.88	16216.58	1.00	1.94	0.94
144	26046280328	CALL	16218.10	16208.43	1.00	0.00	-1
145	26046286968	CALL	16201.02	16204.30	2.00	3.88	1.88
