"Date	Ref.	Potential Payout	Contract	Purchase Price	Sale Date	Sale Price	Profit/Loss (USD)	Details"
"2017-03-20 17:27:48 GMT	26457322348	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:28:04 GMT	0	-1	View"
"2017-03-20 17:27:30 GMT	26457312628	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:27:46 GMT	1.94	0.94	View"
"2017-03-20 17:26:58 GMT	26457295908	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-20 17:27:28 GMT	15.54	7.54	View"
"2017-03-20 17:26:36 GMT	26457285168	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:26:56 GMT	0	-4	View"
"2017-03-20 17:26:18 GMT	26457275428	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:26:34 GMT	0	-2	View"
"2017-03-20 17:26:00 GMT	26457264808	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:26:16 GMT	0	-1	View"
"2017-03-20 17:25:28 GMT	26457249848	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-20 17:25:58 GMT	15.54	7.54	View"
"2017-03-20 17:25:06 GMT	26457237188	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:25:26 GMT	0	-4	View"
"2017-03-20 17:24:48 GMT	26457223848	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:25:04 GMT	0	-2	View"
"2017-03-20 17:24:30 GMT	26457214668	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:24:46 GMT	0	-1	View"
"2017-03-20 17:24:12 GMT	26457204888	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:24:28 GMT	3.88	1.88	View"
"2017-03-20 17:23:54 GMT	26457193728	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:24:10 GMT	0	-1	View"
"2017-03-20 17:23:32 GMT	26457182908	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:23:52 GMT	7.77	3.77	View"
"2017-03-20 17:23:14 GMT	26457174128	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:23:30 GMT	0	-2	View"
"2017-03-20 17:22:56 GMT	26457162848	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:23:12 GMT	0	-1	View"
"2017-03-20 17:22:38 GMT	26457153768	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:22:54 GMT	1.94	0.94	View"
"2017-03-20 17:22:06 GMT	26457137208	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-20 17:22:36 GMT	15.54	7.54	View"
"2017-03-20 17:21:44 GMT	26457123328	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:22:04 GMT	0	-4	View"
"2017-03-20 17:21:26 GMT	26457113448	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:21:42 GMT	0	-2	View"
"2017-03-20 17:21:08 GMT	26457104468	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:21:24 GMT	0	-1	View"
"2017-03-20 17:20:36 GMT	26457086128	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-20 17:21:06 GMT	15.54	7.54	View"
"2017-03-20 17:20:14 GMT	26457074508	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:20:34 GMT	0	-4	View"
"2017-03-20 17:19:56 GMT	26457057708	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:20:12 GMT	0	-2	View"
"2017-03-20 17:19:38 GMT	26457049088	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:19:54 GMT	0	-1	View"
"2017-03-20 17:19:20 GMT	26457039148	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:19:36 GMT	1.94	0.94	View"
"2017-03-20 17:19:02 GMT	26457028768	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:19:18 GMT	3.88	1.88	View"
"2017-03-20 17:18:44 GMT	26457019348	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:19:00 GMT	0	-1	View"
"2017-03-20 17:18:26 GMT	26457009528	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:18:42 GMT	3.88	1.88	View"
